Season_Episode_Name,Rating,Link,Story,Director,Writers,Stars
S2.E1 ∙ The Bad Fish Paradigm,8.2,https://www.imdb.com//title/tt1256599/?ref_=ttep_ep_1,"Leonard becomes concerned when his date with Penny ends abruptly and she starts blowing him off. When told the truth, Sheldon would rather move out than keep Penny's reasons a secret from Leonard.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, David Goetsch']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E2 ∙ The Codpiece Topology,8.0,https://www.imdb.com//title/tt1256030/?ref_=ttep_ep_2,Sheldon is annoyed when Leonard turns to Leslie for comfort after seeing Penny with another guy.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Lee Aronsohn']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E3 ∙ The Barbarian Sublimation,8.7,https://www.imdb.com//title/tt1256034/?ref_=ttep_ep_3,"Sheldon introduces Penny to online gaming, however she refuses to quit after becoming addicted.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E4 ∙ The Griffin Equivalency,7.9,https://www.imdb.com//title/tt1256035/?ref_=ttep_ep_4,The guys struggle to cope with Raj's arrogance after he is featured in a People magazine article.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Stephen Engel']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E5 ∙ The Euclid Alternative,8.3,https://www.imdb.com//title/tt1256036/?ref_=ttep_ep_5,"Sheldon annoys the gang when Leonard can't drive him to and from work, so they try to teach him how to drive.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Lee Aronsohn']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E6 ∙ The Cooper-Nowitzki Theorem,8.2,https://www.imdb.com//title/tt1256037/?ref_=ttep_ep_6,"Sheldon is flattered when a graduate student takes a shine to him, however her extreme devotion becomes too much to handle.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Tim Doyle']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E7 ∙ The Panty Piñata Polarization,8.6,https://www.imdb.com//title/tt1256038/?ref_=ttep_ep_7,"Penny plans revenge when Sheldon bans her from his and Leonard's apartment, while Howard and Raj use the latest technology to try to find the house being used in ""America's Next Top Model.""",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Jennifer Glickman']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E8 ∙ The Lizard-Spock Expansion,8.0,https://www.imdb.com//title/tt1256039/?ref_=ttep_ep_8,Leonard and Howard's friendship is jeopardised when Leonard steals a girl from Howard.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, David Goetsch']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E9 ∙ The White Asparagus Triangulation,8.1,https://www.imdb.com//title/tt1256040/?ref_=ttep_ep_9,"Sheldon believes that Leonard will wreck his relationship with Stephanie, so he decides to take matters into his own hands.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Stephen Engel']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S2.E10 ∙ The Vartabedian Conundrum,7.6,https://www.imdb.com//title/tt1256020/?ref_=ttep_ep_10,"Leonard tries to slow down his relationship with Stephanie when he realizes that they are living together, while Sheldon becomes convinced that he has an untraceable disease.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Richard Rosenstock']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
