고급휘발유,보통휘발유,경유,실내등유,상표 URL,주유소 이름,세차장,충전소,경정비,편의점,24시영업,주소,상표
1869,1637,1519,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,현대오일뱅크(주)직영 양천셀프주유소,True,False,False,False,False,서울 양천구 목동로 17,HD현대오일뱅크
1965,1638,1513,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,플라트(주)서호주유소,True,False,True,False,False,서울 양천구 남부순환로 317,GS칼텍스
False,1638,1513,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,현대주유소,True,False,False,False,False,서울 양천구 남부순환로 372 (신월동),S-OIL
1965,1638,1530,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 남부순환셀프주유소,True,False,False,True,True,서울 양천구 남부순환로 553 (신월동),HD현대오일뱅크
False,1644,1529,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,(주)타이거오일 신정주유소,False,False,False,False,False,서울 양천구 중앙로 226 (신정동),SK에너지
False,1644,1514,1400,https://www.opinet.co.kr/images/user/com/icon_gs.gif,신월주유소,False,False,False,False,False,서울 양천구 신월로 193 (신월동),GS칼텍스
False,1646,1508,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,㈜지에스이앤알 서울주유소,True,False,False,False,False,서울 양천구 신정로 236 (신정동),GS칼텍스
False,1648,1523,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,개나리Self주유소,True,False,True,False,False,서울 양천구 남부순환로 442 (신월동),SK에너지
False,1662,1535,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,가로공원주유소,True,False,False,False,True,서울 양천구 가로공원로 165 (신월동),SK에너지
False,1664,1549,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,삼미상사(주)신월IC셀프주유소,False,False,True,False,False,서울 양천구 중앙로 331 (신월동),SK에너지
1975,1689,1579,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,형산석유(주)원주유소,True,False,True,False,False,서울 양천구 남부순환로 408,HD현대오일뱅크
False,1696,1567,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,현대오일뱅크(주)직영 양정주유소,False,False,False,False,False,서울 양천구 국회대로 158 (신정동),HD현대오일뱅크
False,1696,1570,1550,https://www.opinet.co.kr/images/user/com/icon_sk.gif,SK에너지(주) 경인주유소,True,False,False,False,False,서울 양천구 국회대로 170 (신정동),SK에너지
False,1699,1579,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,신정동주유소,True,False,False,True,False,서울 양천구 안양천로 663 (신정동),HD현대오일뱅크
1903,1704,1597,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,(주)삼표에너지 목동주유소,True,False,False,False,False,서울 양천구 목동서로 129 (목동),GS칼텍스
1904,1704,1597,1588,https://www.opinet.co.kr/images/user/com/icon_gs.gif,지에스칼텍스㈜ 건지주유소,True,True,False,False,False,서울 양천구 안양천로 1171 (목동),GS칼텍스
1889,1710,1583,1390,https://www.opinet.co.kr/images/user/com/icon_sk.gif,SK에너지㈜ 신평,True,False,True,False,False,서울 양천구 목동남로 62,SK에너지
False,1724,1614,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,현대오일뱅크㈜직영 목동셀프주유소,False,False,False,False,False,서울 양천구 공항대로 648 (목동),HD현대오일뱅크
1904,1724,1619,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,현대오일뱅크(주)직영 양천현대셀프주유소,True,True,True,False,True,서울 양천구 안양천로 1179 (목동),HD현대오일뱅크
False,1724,1619,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,목동주유소,True,False,False,False,False,서울 양천구 목동중앙로 125 (목동),SK에너지
False,1749,1619,1370,https://www.opinet.co.kr/images/user/com/icon_hy.gif,(주)서부트럭터미날,True,False,False,False,False,서울 양천구 신정로 167 (신정동),HD현대오일뱅크
False,1844,1689,1690,https://www.opinet.co.kr/images/user/com/icon_sk.gif,신양주유소,True,False,False,False,False,서울 양천구 지양로 67,SK에너지
2058,1859,1744,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,현대오일뱅크(주)직영 신목동셀프주유소,True,False,True,False,False,서울 양천구 목동동로10길 13,HD현대오일뱅크
1818,1648,1518,1318,https://www.opinet.co.kr/images/user/com/icon_hy.gif,(주)강서오일,False,False,False,False,True,서울 영등포구 도신로 151,HD현대오일뱅크
1799,1648,1518,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,남서울고속주유소,True,False,False,False,False,서울 영등포구 가마산로 367 (대림동),SK에너지
False,1648,1518,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,(주)MS오일,True,False,False,False,False,서울 영등포구 대림로 230,HD현대오일뱅크
False,1648,1518,False,https://www.opinet.co.kr/images/user/com/icon_rto_new.gif,도림주유소,False,False,True,False,False,서울 영등포구 도림로 343 (도림동),알뜰주유소
False,1648,1518,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,성락주유소,True,False,False,False,False,서울 영등포구 가마산로 414 (신길동),S-OIL
False,1648,1518,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,행촌주유소,True,False,False,True,True,서울 영등포구 도신로 130 (신길동),SK에너지
False,1648,1518,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,(주)대청에너지 대청주유소,True,False,True,False,True,서울 영등포구 가마산로 328 (대림동),GS칼텍스
False,1648,1518,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,영등포제일셀프주유소,True,False,True,False,False,서울 영등포구 가마산로 379,HD현대오일뱅크
1868,1658,1518,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,한경석유(주)경덕주유소,True,False,False,False,False,서울 영등포구 여의대방로23길 2 (신길동),SK에너지
1868,1668,1538,1450,https://www.opinet.co.kr/images/user/com/icon_gs.gif,지에스칼텍스㈜ 신길주유소,True,False,False,False,True,서울 영등포구 신길로 74 (신길동),GS칼텍스
1869,1669,1528,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,㈜지에스이앤알 보라주유소,True,False,False,False,False,서울 영등포구 영등포로 399 (신길동),GS칼텍스
False,1669,1528,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,㈜지에스이앤알 모드니주유소,True,False,False,False,False,서울 영등포구 경인로 789,GS칼텍스
1894,1694,1569,1520,https://www.opinet.co.kr/images/user/com/icon_gs.gif,지에스칼텍스㈜ 화일주유소,False,False,False,False,False,서울 영등포구 도림로 415,GS칼텍스
1869,1694,1565,1450,https://www.opinet.co.kr/images/user/com/icon_sk.gif,SK에너지(주) 신길동주유소,True,False,False,False,False,서울 영등포구 영등포로 348 (신길동),SK에너지
1938,1694,1554,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,씨앤에스유통(주) 한일주유소,True,False,False,False,False,서울 영등포구 도림로 486 (문래동3가),S-OIL
1935,1695,1575,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,씨앤에스유통 한성주유소,False,False,False,False,False,서울 영등포구 여의대방로 227,S-OIL
1879,1698,1574,1400,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 대일셀프주유소,False,False,False,False,False,서울 영등포구 영등포로 168,HD현대오일뱅크
False,1724,1616,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,SK에너지(주) 양평주유소,True,False,False,False,True,서울 영등포구 선유로 195 (양평동3가),SK에너지
