기업이름,진행중 채용공고,업력,기업형태,사원수,매출액,평균연봉,최저연봉,최고연봉
(주)소디스,False,업력 19년차,중소기업,17 명,45억 882만원,"5,875 만원","3,387만원","6,942만원"
(주)모션디바이스,False,업력 15년차,중소기업,14 명,"157억 6,980만원","7,642 만원","4,158만원","7,763만원"
(주)제이솔루션,False,업력 8년차,중소기업,30 명,"47억 2,851만원","3,425 만원","2,533만원","5,626만원"
(주)로봇템,False,업력 10년차,중소기업,16 명,"50억 4,160만원","6,376 만원","3,490만원","7,314만원"
(주)우성기계,2,업력 12년차,중소기업,10 명,"38억 5,205만원","7,133 만원","4,250만원","7,514만원"
스카이로보,3,False,중소기업,False,"4억 4,088만원",False,False,False
(주)로보스텍,1,업력 8년차,중소기업,12 명,"28억 4,397만원","5,516 만원","3,169만원","6,760만원"
(주)앤에이치씨,False,업력 11년차,중소기업,13 명,23억 226만원,"6,528 만원","3,654만원","7,587만원"
(주)에이플,False,업력 3년차,중소기업,10 명,"1억 5,000만원","4,699 만원","3,014만원","6,338만원"
(주)캐즈테크,False,업력 21년차,중소기업,5 명,"15억 5,898만원","3,384 만원","2,571만원","5,423만원"
로빅스(주),False,업력 17년차,중소기업,8 명,"17억 8,001만원","8,466 만원","4,882만원","8,882만원"
(주)바이로봇,False,업력 15년차,중소기업,5 명,"52억 7,550만원",False,False,False
(주)블루모션테크,False,업력 13년차,중소기업,11 명,"48억 2,068만원","3,580 만원","2,509만원","5,376만원"
(주)지에스이,False,업력 25년차,중소기업,6 명,"21억 8,459만원","6,476 만원","3,878만원","7,129만원"
(주)리눅스아이티,False,업력 19년차,스타트업,11 명,"20억 8,934만원","3,569 만원","2,621만원","5,168만원"
(주)씨엘에프하이텍,False,업력 17년차,중소기업,0 명,"16억 3,692만원",False,False,False
(주)세이프티랩,1,업력 8년차,중소기업,10 명,"3억 8,510만원","3,928 만원","2,730만원","5,695만원"
(주)지오로봇,1,업력 4년차,중소기업,16 명,"7,036만원","5,957 만원","3,415만원","7,019만원"
(주)엣지크로스,False,업력 11년차,스타트업,29 명,"30억 1,620만원","6,054 만원","3,440만원","7,508만원"
(주)오토피디아,False,업력 7년차,중소기업,17 명,"110억 3,746만원","6,242 만원","3,429만원","7,274만원"
(주)유니드,False,업력 15년차,중소기업,26 명,"25억 3,669만원","3,497 만원","2,465만원","5,682만원"
로드러너(주),False,업력 5년차,중소기업,38 명,"29억 5,689만원","6,589 만원","3,675만원","7,537만원"
고레로보틱스(주),1,업력 3년차,중소기업,15 명,"7,500만원","4,509 만원","2,819만원","6,055만원"
(주)토룩,False,업력 14년차,스타트업,27 명,"17억 2,637만원","4,245 만원","2,819만원","5,871만원"
오션미래기술(주),False,업력 9년차,중소기업,68 명,"49억 2,281만원","4,200 만원","2,802만원","5,835만원"
(주)넷온,False,업력 8년차,중소기업,10 명,"24억 5,555만원","5,297 만원","3,075만원","6,933만원"
(주)언맨드솔루션,False,업력 18년차,중소기업,23 명,"15억 1,851만원","4,364 만원","2,849만원","6,336만원"
(주)휴고다이나믹스,False,업력 8년차,중소기업,11 명,"69억 7,778만원","8,583 만원","4,418만원","9,301만원"
(주)퓨너스,False,업력 6년차,중소기업,21 명,"42억 1,191만원","4,275 만원","2,828만원","6,225만원"
코리아테스팅(주),False,업력 14년차,중소기업,0 명,"22억 2,760만원",False,False,False
(주)바스토테크놀로지스,False,업력 3년차,중소기업,12 명,"80억 4,207만원","6,208 만원","3,408만원","7,451만원"
(주)한스콤정보통신,False,업력 28년차,중소기업,43 명,"124억 1,606만원","5,530 만원","3,143만원","6,764만원"
아리온통신(주),False,업력 22년차,중소기업,29 명,"174억 3,267만원","5,665 만원","3,238만원","7,279만원"
(주)원진비엠티,False,업력 19년차,스타트업,36 명,"145억 6,511만원","6,411 만원","3,615만원","7,330만원"
(주)오픈네트웍시스템,False,업력 27년차,중소기업,18 명,"244억 7,242만원","5,203 만원","3,045만원","7,301만원"
지오소나(주),False,업력 7년차,중소기업,9 명,"23억 4,079만원","4,940 만원","2,963만원","6,310만원"
좋은기술,False,False,스타트업,False,"16억 9,173만원",False,False,False
(주)세계로시스템,False,업력 12년차,중소기업,False,"137억 3,240만원",False,False,False
(주)아프스,1,업력 8년차,중소기업,5 명,False,"5,841 만원","3,593만원","6,727만원"
네오아크로보틱스,1,업력 2년차,중소기업,3 명,False,False,False,False
(주)스마트시스템즈,False,업력 5년차,중소기업,11 명,"71억 7,320만원","4,372 만원","2,861만원","5,922만원"
(주)헬퍼로보틱스,1,업력 5년차,중소기업,15 명,False,False,False,False
(주)에로바테크놀러지,False,업력 24년차,중소기업,7 명,45억 549만원,"7,625 만원","4,370만원","8,013만원"
(주)올더테크,False,업력 12년차,중소기업,6 명,16억 937만원,"5,894 만원","3,613만원","6,694만원"
(주)실루엣미디어그룹아시아,False,업력 16년차,중소기업,6 명,"21억 4,991만원","4,977 만원","3,117만원","6,741만원"
(주)창의와교육,False,업력 13년차,중소기업,5 명,"34억 9,237만원","5,297 만원","3,246만원","6,447만원"
(주)두리씨앤에스,False,업력 16년차,중소기업,21 명,"52억 3,188만원","5,039 만원","2,965만원","6,757만원"
(주)퓨처아이스,False,업력 25년차,중소기업,8 명,49억 733만원,"7,894 만원","4,377만원","8,279만원"
(주)한국데이터통신,False,업력 16년차,중소기업,10 명,"17억 5,417만원","4,479 만원","2,925만원","6,165만원"
(주)엑스로보,False,업력 7년차,중소기업,8 명,19억 97만원,"3,956 만원","2,740만원","5,467만원"
