Season,Episode,Name,Rating,Story,Director,Writers,Stars
2,8,The Lizard-Spock Expansion,8.0,Leonard and Howard's friendship is jeopardised when Leonard steals a girl from Howard.,Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,9,The White Asparagus Triangulation,8.1,"Sheldon believes that Leonard will wreck his relationship with Stephanie, so he decides to take matters into his own hands.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Stephen Engel","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,10,The Vartabedian Conundrum,7.6,"Leonard tries to slow down his relationship with Stephanie when he realizes that they are living together, while Sheldon becomes convinced that he has an untraceable disease.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Richard Rosenstock","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,11,The Bath Item Gift Hypothesis,9.1,"Leonard is disappointed when Penny develops an interest in an attractive physicist at the university. Meanwhile, Sheldon struggles to find an appropriate Christmas gift for Penny.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Stephen Engel","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,12,The Killer Robot Instability,7.8,"Howard becomes depressed after Penny makes a cruel statement about his love life, while the rest of the guys prepare for a grudge killer robot duel against an obnoxious colleague at the university.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,13,The Friendship Algorithm,7.9,Sheldon tries to make friends with Kripke in the hope that it will get him access to a coveted computer at the university.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,14,The Financial Permeability,8.0,Leonard and Sheldon try to help out Penny when she can't afford to pay her rent.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Richard Rosenstock","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,15,The Maternal Capacitance,8.8,"Sheldon hits it off with Leonard's psychoanalyst mother, but she drives Leonard and Penny to the bottle.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Richard Rosenstock","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,16,The Cushion Saturation,8.1,"Howard hooks up with Leslie, while Penny accidentally ruins Sheldon's spot on the couch.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
2,17,The Terminator Decoupling,8.0,"On a train to San Francisco, Howard, Raj and Leonard fight for the affections of sci-fi star Summer Glau, while Sheldon is forced to turn to Penny for help when he leaves his flash drive behind.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Tim Doyle","Johnny Galecki, Jim Parsons, Kaley Cuoco"
